6;cloth;alabaster;alabaster (grey);M 53
9;cloth;campingrot;camping red;
33;leatherette;hellgrau/mittelgrau;light grey/medium grey;
34;leatherette;hellsand/khakibraun;light sand/khaki brown;1968-1970
34;cloth;campinggrüngelb;camping green yellow;1976-1978
35;leatherette;dunkelblau;dark blue;
36;leatherette;beige;beige;
40;leatherette;schwarz;black;
41;leatherette;indischrot;indian red;1968
41;cloth;campinggrünrot;camping green red;1976-1978
45;leatherette;mittelgrau;medium grey;
46;cloth;campingbraunbeige;camping brown beige;
47;leatherette;galarot;gala red;
49;cloth;campingrün;camping green;until VIN 2362 119 509
50;leatherette;schwarz;black;
51;leatherette;dunkelbeige;darkbeige;
52;leatherette;alabaster (grau);alabaster (grey);
53;leatherette;kork;cork;
55;leatherette;lederbeige;leather beige;
60;leatherette;galarot;gala red;
61;leatherette;mittelgrau;medium grey;
77;leatherette;canyonbraun;canyon brown;
90;cloth;canyonbraun;canyon brown;M 106
93;cloth;alabaster (grau);alabaster (grey);M 53
94;cloth;lederbeige;leather beige;M 53
A5;cloth;marine (dunkelblau);marine (dark blue);special sales campaign - Silberfisch (S766)
AL;cloth;canyonbraun;canyon brown;
EB;cloth;campinggrüngelb;camping green yellow;
EC;cloth;campinggrünrot;camping green red;
ED;cloth;campingbraunbeige;camping brown beige;
K2;cloth;pergament (beige-grau);parchment (beigegrey);special sales campaign - Champagne Edition (S723)
M9;leatherette;schiefer;slate;
N1;leatherette;wacholder (grün);juniper (green);
N2;leatherette;lapisblau;lapis blue;
N3;leatherette;bambus (beige);bamboo (beige);
NM;leatherette;schwarz;black;
NP;leatherette;canyonbraun;canyon brown;
NS;leatherette;alabaster;alabaster (grey);
V1;cloth;siena (rot-braun);sienna (red brown);special sales campaign - Champagne Edition II (S765), microbus 
