BE;Belgium;
DA;Denmark - Copenhagen;Dänemark - Kopenhagen
EN;United Kingdom - Ramsgate;England
FJ;Finland;
FR;France;
HO;The Netherlands;Holland
JB;Italy - Verona;
KN;Canada - St.Johns N.B.;Kanada
OR;Austria - Salzburg ('Österreich-Salzburg');Österreich-Salzburg
OW;Austria - Vienna;Österreich-Wien
PA;Panama;
SD;Sweden - south;
SV;Sweden - west;
SZ;Switserland;
TH;Thailand;
UA;USA - Los Angeles;
UB;USA - Columbus via Baltimore;;
UC;USA - Chicago;;
UF;USA - San Francisco;;
UH;USA - San Antonio / Houston;;
UL;USA - St. Louis / Lake Charles;;
UN;USA - New York;;
UP;USA - Portland via Seattle;;USA, Portland via Seattle
UT;USA - tourist delivery program;;
UU;USA - Los Angeles for Honolulu;;
UV;USA - Boston;;
UW;USA - Washington / Baltimore;;
UY;USA - Grand Rapids / Toledo;;
