111;100;173;A;;T2;sticker ontstekingstijdstip;;;;2000-10;0,41
039;100;173;E;;T2;?;;;;2000-10;0,52
022;100;175;;;T2;?;;;;2000-10;0,41
N;102;582;01;;?;slangeklem;;;;2000-07;0,98
059;121;119;;;;;pakking;;;2001-06;1,86
113;127;563;;;T2;T-stuk;T-stuk voor benzineslang;;;2002-07;1,42
211;201;179;A;;type 3;;slang ontluchting tank tussen vulhals en carrosserie;;;2000-07;21,26
211;201;249;A;;T2;clip;;;;2002-07;0,59
311;255;547;;;type 3;kabel;kabeltje verwarming interieur;;;2000-10;0,60
211;261;115;B;;T2;pakking;;;;2002-07;12,14
211;261;129;A;;T2;slang;;;;2002-07;6,76
211;261;423;A;;T2;verbindingsslang;;;;2002-07;21,12
281;261;467;B;;T2;brandstofpomp;;;;2002-07;295,86
411;261;679;;;T2;beugel;;;;2002-07;4,42
111;298;101;A;;type 1;bevestigingsdelen voor verwarming kleppenkabel;;;;2000-10;5,06
211;415;049;F;;T2;stuurhuis;stuurhuis, 1968-1972, links sturende voertuigen;;;;
111;601;151;;;T2;wieldop, gegrond;wieldop 1968-1970;;;2000-10;14,86
113;601;151;;;T2;wieldop, verchroomd;wieldop 1968-1970;;;2001-05;25,97
251;601;151;;;T2;wieldop, gegrond;T3 wieldop, dikkere rand dan origineel, past op 1971-1979 T2's;;;2000-10;17,33
251;601;151;A;;T2;wieldop, verchroomd;T3 wieldop, dikkere rand dan origineel, past op 1971-1979 T2's;;;2000-10;18,17
211;609;425;L;;T2;remankerplaat;linksachter (1971-1979);;;2000-10;52,91
211;609;426;L;;T2;remankerplaat;rechtsachter (1971-1979);;;2000-10;52,91
281;611;767;;;T2;steun voor remleiding;plastic klemmetjes voor remleidingen;;;;
211;611;775;B;;T2;remslang, M10x1x270, achter;remslang rechts achter;;;;
211;612;501;A;;T2;remdrukregelaar;;;;2000-10;166,08
221;711;605;F;;T2;?;;;;2000-10;24,87
211;711;630;M;;T2;?;;;;2000-10;28,54
211;711;630;N;;T2;?;;;;2000-10;29,00
211;711;647;A;;T2;?;;;;2000-10;10,87
211;711;647;C;;T2;?;;;;2000-10;?
211;711;663;B;;T2;vouwbalg?;;;;2000-10;3,41
111;721;619;;;type 3;;veertje gaspedaal?;;;2000-10;0,61
211;798;335;;;T2;koppelingskabel met montagedelen, 3215mm;1972-1979, links sturende voertuigen;;;;
271;817;141;A;;T2;steun voor tl-buis;frame in dak voor TL-buis;;;;
253;817;547;;;T2;luchtgeleiderozet voor be- en ontluchtingsmotor;;;;;
251;817;667;;;T2;pakking voor dakventilator;afdichting tussen dakventilator en carrosserie;;;;
271;819;973;A;;T2;dakventilator met motor;;;;;
211;827;503;D;;T2;klepslot;slot motorklep 1968-1971;vervallen artikel;er is geen vervangend artikel;2002-12;0,00
211;827;503;L;;T2;klepslot;slot motorklep 1972-1979;vervallen artikel;er is geen vervangend artikel;2002-12;0,00
211;829;193;C;;T2;pakking;rubber achterklep 1968-1971;;;;
211;829;193;E;;T2;pakking;rubber achterklep 1972-1979;;;;
283;829;491;;;T3;kabelhouder achter;retainingcable for tailboard;;;;
211;837;205;N;;T2;portiergreep buiten, verchroomd;1969-1979;vervallen artikel;er is geen vervangend artikel;2002-12;0,00
281;837;217;B;;T2;slotcilinder voor portiergreep, profiel r;slotcylinder cabinedeuren 1971-1979;vervallen artikel;er is geen vervangend artikel;2002-12;0,00
111;837;219;A;S93;T2;sleutel, profiel r;sleutel 1971-1979;;;2002-12;2,96
253;843;196;A;581;T2;strip boven schuifdeur, wolkenwit;;;;2000-10;13,77
214;843;406;E;;T2;rolgeleiding;rolgeleiding schuifdeur, onderzijde;;;2000-10;100,97
211;843;425;C;;T2;geleidingsrol;onderdeel rolgeleiding schuifdeur;;;2000-10;4,86
281;843;799;;;T2;strip;afdichting beschermkap schuifdeurrails;;;;
211;845;521;D;;T2;pakking achterruit;achterruitrubber;vervallen artikel;er is geen vervangend artikel;;0,00
221;847;655;;;T2;frame voor pakking;frame tochtruit passagiersruimte;vervallen artikel;er is geen vervangend artikel;;0,00
703;853;047;;;T2;?;;;;2000-10;3,95
255;853;345;A;;T2;sierlijst, 2950mm;sierlijst in raamrubbers;;;;
111;853;415;A;;T2;sierstrip zilver;;;;2000-10;38,53
241;853;441;;;T2;eindsteun;bevestiging stangetjes achterklep;;;;
211;853;601;E;;T2;vw-embleem, voor, verchroomd;1973->;vervallen artikel;er is geen vervangend artikel;;0,00
211;853;601;E;90D;T2;vw-embleem, voor, pastelwit;1973->;vervallen artikel;er is geen vervangend artikel;;0,00
211;853;619;;;T2;stop;bevestiging vw-logo voorzijde 1972-1979;;;;
211;857;513;;;T2;buitenspiegel (verkleinend) verchroomd, links;;;;;
211;857;513;C;;T2;buitenspiegel (verkleinend) pastelwit, links;;;;;
211;857;513;F;;T2;buitenspiegel (vlak) verchroomd, links;;-;;;
211;857;513;M;;T2;buitenspiegel (vlak) pastelwit, links;;;;;
211;857;514;;;T2;buitenspiegel (verkleinend) verchroomd, rechts;;;;;
211;857;514;C;;T2;buitenspiegel (verkleinend) pastelwit, rechts;;vervallen artikel;er is geen vervangend artikel;;0,00
211;857;514;F;;T2;buitenspiegel (vlak) verchroomd, rechts;;vervallen artikel;er is geen vervangend artikel;;0,00
211;857;514;M;;T2;buitenspiegel (vlak) pastelwit, rechts;;;;;
255;857;629;;581;T2;mantelhaak, wolkenwit;mantelhaak (T3 onderdeel, iets andere vormgeving dan origineel);;;2000-10;0,88
211;857;723;;;T2;steun voor veiligheidsgordel;plastic haakje om heupgordel aan op te hangen;;;2000-10;2,77
211;867;161;B;043;T2;sluitgreep;;;;2000-10;13,48
311;867;167;;;T2;parker, 4,2x13;voor bevestiging panelen tussenwand, VIN 2x8 160 611 ->;;;;
311;867;169;;01C;T2;sierdop voor bout, satijnzwart;voor bevestiging panelen tussenwand, VIN 2x8 160 611 ->;;;2000-10;0,48
361;867;425;;;T2;pakking;rubbertjes voor klemmetjes deurpanelen;;;;
241;877;223;;;T2;pakking, 4285mm;rubberafdichting voor schuifdak;;;2000-10;93,57
241;877;243;;;T2;waterafvoerventiel;afdichting voor waterafvoer schuiddak;;;2000-10;42,11
117;877;433;;581;T2;portiergreepschaal wolkenwit;schuifdakslingergreepschaal (wolkenweiß L581);;;2000-12;2,89
253;877;453;;581;T2;hendel;slinger voor schuifdak;;;2000-12;14,57
313;877;465;;581;T2;rosette;;;;2000-10;2,82
111;881;281;;;T2;vleugelmoer;vleugelmoer voor bevestiging midden- en achterbank;;;2000-10;4,76
211;881;775;G;;T2;stoffering stoel;;;;2000-10;48,78
221;883;861;A;;T2;lagerplaat;plaat tussen middenbank en rubbermat;;;2000-10;5,81
221;883;865;A;;T2;steunstuk;steunstuk voor middenbank;;;2000-10;9,28
221;885;285;A;;T2;steunstuk;steunstuk voor achterbank;;;2000-10;8,39
113;905;207;C;;T2;stroomverdelerkap;;;;2002-07;10,44
211;905;225;B;;T2;rotor met toerenbegrenzer;;;;2002-07;23,12
211;905;855;C;;T2;slotcylinder van contactslot;1971->;;;;
181;937;555;;;T2;deksel zekeringkast;1968-1969;;;2000-10;4,97
111;937;555;D;;T2;deksel zekeringkast;1971-1979;;;2000-10;4,88
271;941;087;F;;T2;zwaailicht;blauw zwaailicht;;;2000-10;202,84
411;941;123;;;T2;pakking;afdichting tussen fitting en carrosserie 1972-1979;;;2002-11;2,21
311;941;151;B;;T2;reflector koplamp HELLA;;;;2000-10;38,12
311;941;151;C;;T2;reflector koplamp BOSCH;;;;2000-10;38,12
211;941;205;B;;T2;zoeklamp;;vervallen artikel;er is geen vervangend artikel;;0,00
111;941;515;;;T2;rosette;voor o.a. koplampschakelaar (kleine diameter);;;2000-10;5,38
271;941;543;;;T2;"kap ""rode kruis""";rode kruis logo voor dashboardknop;;;2000-10;7,53
211;941;543;B;;T2;"kapje ""ventilator""";ventilator logo voor dashboardknop;;;2000-10;1,09
411;941;583;C;;T2;relais voor: tl-buis;;;;;
211;945;231;;;T2;fitting;achterlichthouder 1972-1979;vervallen artikel;vervangen door: 281 945 231 A;1998-00;0,00
281;945;231;A;;T2;fitting;achterlicht LT;vervallen artikel;vervangen door: 281 945 231 B;2002-12;0,00
281;945;231;B;;T2;fitting;achterlicht LT;;;2002-12;52,61
411;945;235;;;T2;afdichtring;afdichting tussen lens en fitting 1972-1979;;;2000-10;1,82
211;945;241;AD;;T2;glas voor rem, knipper,….;lens achterlicht 1972-1979;;;2000-10;29,72
211;945;241;M;;T2;?;achterlichtlens 1968-1971;;;2000-10;27,82
211;945;285;;;T2;beschermkap;kap voor achterzijde fitting 1972-1979;;;;
443;945;505;A;;type 3;?;;;;2000-10;16,97
823;947;105;B;;T2;binnenverlichting;1976-1979;;;;
211;947;111;B;;T2;binnenverlichting;1968-1975;;;;
221;947;119;;;T2;fitting voor tl-lamp;;;;;
271;947;125;A;;T2;glas met schakelaar voor buislamp;TL-buis kap met aan/uit schakelaar;;;;
191;951;215;;;T2;sterke claxon, dieptoon claxon;onderdeel twee-tonige sirene;;;;
191;951;217;;;T2;sterke claxon, claxon hoge;onderdeel twee-tonige sirene;;;;
191;951;273;;;T2;claxon wisselrelais;voor twee-tonige sirene, 1970-1979;;;2000-10;213,28
211;951;275;A;;T2;alarm trek-draaischakelaar;;;;2000-10;31,49
211;951;299;;;T2;ruit zwaailichtschakelaar;;;;2000-10;5,42
271;951;331;A;;T2;schakelaar voor zoemer;;;;;
111;953;061;A;;T2;knipperlicht;;;;2000-10;14,50
161;955;427;;;;;wisserblad;;;2001-06;4,56
111;955;531;;;T2;regelapparaat voor wis-was intervalautomaat;1973-1979;;;;
111;955;541;C;043;T2;knop, grijszwart;dashboardknop voor o.a. koplampen;;;2000-10;2,81
111;955;511;B;;T2;schakelaar;;;;2000-10;7,08
147;957;801;C;;K-Ghia;aandrijfas snelheidsmeter, 1860mm;km tellerkabel typ 142 & 144 (-1971);;;;
111;957;801;M;;K-Ghia;aandrijfas snelheidsmeter, 1275mm;km tellerkabel typ 141 & 143 (1967-1971);;;;
271;959;117;;;T2;afdekkap;1968-1978, afdekkap dakventilator;;;;
271;959;117;A;;T2;afdekkap;1979, afdekkap dakventilator;;;;
411;963;037;A;;T2;beschermkap;;;;2002-07;15,18
181;963;107;;;T2;tijdschakelaar;benzinekachel Eberspächer BA4;;;;
411;963;107;C;;T2;temperatuurregelschakelaar;benzinekachel Eberspächer BN6;;;;
211;963;115;A;;T2;schakelknop;1970-1973(?);;;;
311;963;111;D;;T2;rosette, M14x1;voor schakelaar 181 963 107;;;;
211;963;115;A;;T2;schakelknop;;;;;
211;963;135;;;T2;relais;;;;2002-07;113,08
411;963;201;;;T2;bobine;;;;2002-07;44,33
411;963;209;B;;T2;veiligheidsschakelaar;;;;2002-07;72,74
211;963;211;A;;;;rubber kabelboom? E.s. 201 305 090 101??;;;;
211;963;239;;;T2;oververhittingsschakelaar;;;;2002-07;55,68
211;963;261;;;T2;temperatuursensor;;;;2002-07;31,17
211;963;319;A;;T2;gloeibougie;;;;2002-07;38,53
311;971;867;A;;;??;;;;;
865;000;278;;;type 1;reflexsticker;;;;;
034;010;017;B;;type 1;sticker "bleifrei";;;;2000-10;0,68
000;010;018;C;;type 1;"sticker ""unleaded""";;;;2000-10;1,18
N;010;216;12;;T2;zeskantbout, M6x18;voor bevestiging dakventilator;;;;
N;011;555;5;;T2;ring, 4,3x8x0,5;ring voor schroef bevestiging panelen tussenwand;;;;
N;013;957;5;;T2;parker, B3,5x9,5;voor bevestiging huis TL-lamp;;;;
N;013;961;2;;T2;parker, ST3,9x13;voor bevestiging knop 271 951 331 A;;;;
N;014;083;1;;T2;plaatschroef met verzonken kop, B2,9x16;voor bevestiging 253 817 547;;;;
N;014;121;2;;T2;zelfborgende schroef, AM4x6;voor bevestiging afdekkap dakventilator;;;;
N;014;378;1;;T2;klem, B13;klemmetjes voor bevestiging deurpanelen;;;;
N;016;137;2;;T2;hamerbout, AM10x50x26;;;;2000-10;1,68
N;017;698;1;;T2;lichtdoorvoerbuis, TL45V6W;TL buis voor ambulance en personenbus;;;;
N;017;718;5;;;;lamp 12V 5W;;;2001-05;0,64
N;018;515;1;;T2;;;;;;
N;020;269;1;;?;slang, 16x3,5;prijs per meter;;;2000-07;16,79
N;020;353;5;;?;slang;prijs per meter;;;2000-07;6,35
N;024;507;4;;T2;beugel, LC32-50;slangeklem voor bevestiging temperatuurvoeler Eberspächer BA6;;;;
N;024;508;3;;T2;beugel, LA80-100;slangeklem voor uiteinde buis Eberspächer BA6;;;2002-07;1,04
211;035;261;;;T2;ontstoringscondensator voor bougies;;;;2002-07;74,65
